A1IITZEV3NV89N,FANTASTIC,1059,99.25%,-,96.97%,100%,0,100%,DCR,
A2ZD0BX89B68QC,POOR,1155,98.63%,3463,97.16%,69.23%,0,90.06%,DNR_DPMO,
A14WRV9A8GC489,POOR,417,97.89%,2398,98.68%,100%,0,100%,DNR_DPMO,
A2ZG3ZK5P85TAT,GREAT,1012,99.61%,2964,100%,100%,0,85.24%,DNR_DPMO,
A2ZNPEKRHJ3IM4,POOR,681,99.71%,2937,96%,87.5%,0,96.83%,DNR_DPMO,
A31KOOZONR3CT4,GREAT,1318,98.65%,-,97.27%,83.33%,0,98.07%,CC,
A340D2SXB98B76,GREAT,173,97.19%,-,100%,100%,0,100%,DCR,
A36JBK1UGSOT7V,FAIR,1507,97.92%,1327,95.15%,100%,0,98.07%,DCR,
A383I86ET7P69H,FAIR,666,99.4%,3003,92.06%,100%,0,94.18%,DNR_DPMO,
A3BXIR8QMK5GJ3,FAIR,802,99.38%,2494,94.64%,100%,0,100%,DNR_DPMO,
A3ECX7BOP0W6EA,POOR,185,97.37%,10811,100%,60%,0,85.29%,DNR_DPMO,
A3G3UMDFFFP3AW,GREAT,886,99.55%,2257,97.96%,100%,0,100%,DNR_DPMO,
A3G6A8YJKAWWT,POOR,751,97.79%,1332,90%,87.5%,0,91.72%,DCR,
A3K2S9TINST9X6,GREAT,693,99.71%,1443,98.94%,0%,0,94.06%,DNR_DPMO,
A3PC8LSXFCQRMS,FANTASTIC_PLUS,236,99.58%,-,100%,100%,0,100%,DCR,
A2N0F4P42BY1P4,GREAT,773,98.72%,-,100%,0%,0,100%,DCR,
A3RQ8347NYE8GP,FANTASTIC_PLUS,778,99.36%,1285,98.33%,100%,0,95.58%,DNR_DPMO,
A3TS150T39I4YN,FANTASTIC_PLUS,656,100%,0,98.9%,100%,0,95.33%,POD,
A7FME9BOQ1DRF,POOR,472,98.13%,6356,100%,90%,0,100%,DNR_DPMO,
A2ZFOT759R1DQY,FANTASTIC,1161,99.4%,1723,100%,90.91%,0,88.72%,DNR_DPMO,
A3R9VPN5LS32SY,FANTASTIC,669,99.85%,1495,100%,100%,0,100%,DNR_DPMO,
A2WW8ZEGC4VEZP,FANTASTIC_PLUS,662,99.85%,-,100%,100%,0,96.91%,DEX,
