A2VO099H3DOOX1,FANTASTIC_PLUS,98.22,255,99.61%,-,100%,-,0,91.27%,DEX
A2HY3PEE0I4KO8,FANTASTIC_PLUS,95.02,1328,99.55%,753,100%,96.15%,0,100%,DNR_DPMO
A2KNBTJYF1QPFU,FANTASTIC_PLUS,94.87,1559,99.68%,641,97.89%,100%,0,98.22%,DNR_DPMO
A1ETXSPHUGD7LN,FANTASTIC_PLUS,93.21,1510,98.31%,-,100%,100%,0,96.06%,DCR
A24EJ2KSPHNNBH,FANTASTIC_PLUS,94.42,920,99.24%,-,97.22%,100%,0,100%,DCR
A174B3WJFH38MV,FANTASTIC,92.96,879,98.88%,1138,100%,100%,0,100%,DCR
A1BC9YN9NCBUS,FAIR,69.38,1147,99.39%,2616,97.18%,100%,0,94.9%,DNR_DPMO
A1LKOO7RZ23Q3T,FAIR,69.33,816,98.55%,0,90.6%,83.33%,0,100%,CC
A1ULTTNN14LLJ2,POOR,47.61,922,97.77%,3254,99.55%,96.15%,0,100%,DNR_DPMO
A1Y06N9ZPMC3TD,GREAT,72.47,1233,99.2%,2433,100%,100%,0,96.15%,DNR_DPMO
A1Y1BMIL6SS8PT,GREAT,70.93,1082,99.08%,3697,98.9%,100%,0,93.67%,DNR_DPMO
A1YEESS4TBTRIY,GREAT,75,194,97.49%,-,100%,100%,0,100%,DCR
A1YGLT6OAJGBWC,FAIR,57.32,1151,98.88%,3475,98.91%,71.43%,0,97.57%,DNR_DPMO
A1Z22YRSC4HN45,GREAT,70.68,568,99.47%,1761,97.96%,100%,0,96.22%,DNR_DPMO
A25YIO5GU1WRGQ,POOR,48.74,1337,97.45%,2992,99.12%,100%,0,93.48%,DNR_DPMO
A2672ZQHS62UQD,GREAT,74.03,286,99.65%,3497,100%,100%,0,100%,DNR_DPMO
A26BX5VZTGG82D,POOR,47.24,218,96.89%,4587,100%,100%,0,81.97%,DNR_DPMO
A2879TAAF5J1UU,GREAT,72.34,797,99.13%,-,96.24%,80%,0,97.03%,CC
A29M5B159J19AE,POOR,49.01,1300,97.82%,2308,99.44%,100%,0,93.51%,DNR_DPMO
A2K5YLZ6PCCGZH,POOR,12.18,1106,95.59%,3617,93.98%,88.24%,1,95.99%,DNR_DPMO
A2KJAOQUI1I1L0,FANTASTIC,92.21,893,99.55%,-,97.95%,90.38%,0,95.96%,CC
A2LBJKMTQ6WMO4,GREAT,71.53,512,99.03%,3906,100%,-,0,94.12%,DNR_DPMO
A2N0TIS3GT3RA3,FAIR,60.1,803,99.63%,3736,98.45%,100%,1,100%,DNR_DPMO
A2W4Q5QQNRXUP,FANTASTIC,85.32,1289,99.85%,776,95.48%,100%,0,100%,DNR_DPMO
A2X3O7342NU7CC,FANTASTIC,89.38,695,98.86%,1439,100%,100%,0,93.28%,DNR_DPMO
A33FLYDPNMXDF,FANTASTIC,86.37,651,98.19%,1536,100%,100%,0,96.34%,DCR
A35G9CHX9CCXQA,POOR,47.7,837,99.17%,2389,96.55%,83.33%,0,100%,DNR_DPMO
A35VXK8UR7N37,POOR,42.5,168,97.67%,-,90%,75%,0,-,DCR
A3DMMSGNR396QL,FAIR,68.44,984,98.4%,0,96.9%,83.33%,0,95.18%,CC
A3FTEB3HAX9COO,FANTASTIC,92.09,1301,99.77%,1537,100%,100%,0,90.18%,DNR_DPMO
A3G3RGIBDUQX62,FAIR,62.5,26,92.86%,-,100%,100%,0,69.04%,DCR
A3HUKJRI41R38I,FANTASTIC,86.25,445,99.55%,0,100%,100%,0,78.72%,DEX
A3N49RXVTIEA9V,GREAT,79.57,1211,98.62%,-,98%,83.33%,0,100%,DCR
A3OKXFNF06ZM3M,FAIR,69.31,633,99.06%,3160,100%,94.44%,0,96.68%,DNR_DPMO
A3P7NDZDEGXY4V,FAIR,57.5,71,95.95%,-,100%,0%,0,-,DCR
